business_report,http://www.iol.co.za/cmlink/1.730910
cape_argus,http://www.iol.co.za/cmlink/1.1037256
cape_times,http://www.iol.co.za/cmlink/1.1046095
daily_news,http://www.iol.co.za/cmlink/1.1077761
the_mercury,http://www.iol.co.za/cmlink/1.1101912
the_star,http://www.iol.co.za/cmlink/1.1073915
sunday_tribune,http://www.iol.co.za/cmlink/1.1120288
independent_online,http://www.iol.co.za/cmlink/1.640
business_day,http://www.bdlive.co.za/?filter=rss
city_press,http://www.citypress.co.za/news/feed/
franco-sa,http://www.franco-sa.co.za/feed
the_gremlin,http://feeds.feedburner.com/co/JdcP?format=xml
the_herald,http://www.theherald.co.za/feed/
jeffreys_bay_news,http://www.jbaynews.com/feed/
mail_&_guardian,http://mg.co.za/rss/
pretoria_news,http://www.iol.co.za/cmlink/1.1118954
public_eye_online,http://www.publiceyenews.com/site/feed/
rapport,http://feeds.rapport.co.za/articles/Rapport/Suid-Afrika/rss
the_south_africa_news,http://www.thesanews.co.za/feed/
sowetan,http://www.sowetanlive.co.za/news/?service=rss
sunday_times,http://www.timeslive.co.za/?service=rss
the_weekend_post,http://www.weekendpost.co.za/feed/
the_new_age,http://thenewage.co.za/rss.aspx?cat_id=1007
independent_online2,http://iol.co.za/cmlink/news-crime-courts-category-rss-1.663
independent_online3,http://iol.co.za/cmlink/1.661
independent_online4,http://www.iol.co.za/cmlink/1.623
independent_online5,http://iol.co.za/cmlink/1.659
independent_online6,http://iol.co.za/cmlink/1.667
independent_online7,http://iol.co.za/cmlink/1.666
independent_online8,http://iol.co.za/cmlink/1.655
independent_online9,http://iol.co.za/cmlink/1.660
independent_online10,http://iol.co.za/cmlink/news-world-category-rss-1.653
independent_online11,http://iol.co.za/cmlink/1.658
independent_online12,http://iol.co.za/cmlink/1.657
independent_online13,http://iol.co.za/cmlink/1.650
independent_online14,http://iol.co.za/cmlink/1.655
independent_online15,http://iol.co.za/cmlink/news-back-page-category-rss-1.652
independent_online16,http://iol.co.za/cmlink/1.651
independent_online17,http://iol.co.za/cmlink/1.688684
the_new_age2,http://thenewage.co.za/rss.aspx?cat_id=1008
